ANIMAL TYPE,VIC,NSW,SA,TAS,QLD,ACT,WA,NT,TOTAL
Mouse,"398,277","423,925",n/a,"19,376",20,n/a,"540,207",n/a,"1,381,805"
Rat,"24,131","29,284",n/a,808,4,n/a,"58,117",n/a,"112,344"
Guinea Pig,"3,962","2,522",n/a,,,n/a,547,n/a,"7,031"
Rabbit,"1,464","1,649",n/a,,,n/a,143,n/a,"3,256"
Other Lab Animals,"3,223",51,n/a,,,n/a,,n/a,"3,274"
Cat,597,"1,230",n/a,,538,n/a,188,n/a,"2,553"
Dog,"2,945","4,275",n/a,14,"1,172",n/a,464,n/a,"8,870"
Other Domestic,147,216,n/a,,,n/a,127,n/a,490
Sheep,"85,677","42,651",n/a,54,"2,588",n/a,"91,781",n/a,"222,751"
Cattle,"21,822","49,687",n/a,"2,184","23,821",n/a,"1,932",n/a,"99,446"
Pig,"6,849","32,989",n/a,,"1,525",n/a,"1,913",n/a,"43,276"
Horse/Donkey,704,"2,235",n/a,3,315,n/a,549,n/a,"3,806"
Other Stock Animals,"2,536",254,n/a,,"1,155",n/a,4,n/a,"3,949"
Native Mammals,"133,830","3,340,256",n/a,"6,940","17,072",n/a,"96,232",n/a,"3,594,330"
Exotic ‘feral’ Animals,"2,346","15,351",n/a,581,"14,201",n/a,"22,441",n/a,"54,920"
Primates,181,96,n/a,,,n/a,28,n/a,305
Domestic Fowl,"21,919","78,262",n/a,12,"3,891,780",n/a,614,n/a,"3,992,587"
Other Birds,"47,636","214,572",n/a,"57,492","182,620",n/a,"84,852",n/a,"587,172"
Reptiles,"3,044","18,196",n/a,"1,327","76,409",n/a,"15,430",n/a,"114,406"
Fish,"294,950","670,498",n/a,"136,989","295,307",n/a,,n/a,"1,397,744"
Amphibians,"3,876","49,008",n/a,111,"9,264",n/a,"9,406",n/a,"71,665"
Other Aquatic Animals,"19,989",,n/a,103,"1,679",n/a,"8,091",n/a,"29,862"
Other,31,32,,,,n/a,176,n/a,239
TOTALS,"1,080,136","4,977,239",,"225,994","4,519,470",,"933,242",,"11,736,081"
