Purpose of project,Vic,NSW,SA,Tas,Qld,ACT,WA,NT,Total
Understanding human or animal biology,"410,028","218,541","103,544","15,632",n/a,n/a,"47,575",n/a,"795,320"
Maintenance and improvement of human or animal health and welfare,"191,599","303,050","31,638","48,485",n/a,n/a,"18,666",n/a,"593,438"
Improvement of animal management or production,"262,698","227,769","50,515","16,654",n/a,n/a,"49,017",n/a,"606,653"
Production of biological products,,"109,229",,,n/a,n/a,,n/a,"109,229"
Diagnostic procedures,,"1,031",,,n/a,n/a,,n/a,"1,031"
Achievement of educational objectives,"57,582","34,960","8,990","21,945",n/a,n/a,"33,969",n/a,"157,446"
Environmental study,"162,600","1,411,046","29,737","49,178",n/a,n/a,"393,102",n/a,"2,045,663"
Regulatory product testing,,"305,242",,,n/a,n/a,"4,717",n/a,"309,959"
Stock Breeding,,"80,774",,,n/a,n/a,"444,015",n/a,"524,789"
Stock Maintenance,,"7,890",,,n/a,n/a,,n/a,"7,890"
Unspecified,,,,,n/a,n/a,"1,878",n/a,"1,878"
TOTALS,"1,084,507","2,699,532","224,424","151,894",n/a,n/a,"992,939",n/a,"5,153,296"
