PURPOSE OF PROJECT,VIC,NSW,SA,TAS,QLD,ACT,WA,NT,TOTAL
Understanding human or animal biology,"357,907","147,914",n/a,"22,084",n/a,n/a,"31,947",n/a,"559,852"
Maintenance and improvement of human or animal health and welfare,"217,975","152,474",n/a,"5,700",n/a,n/a,"36,891",n/a,"413,040"
Improvement of animal management or production,"69,443","91,603",n/a,"94,279",n/a,n/a,"23,294",n/a,"278,619"
Production of biological products,,"54,811",n/a,,n/a,n/a,0,n/a,"54,811"
Diagnostic procedures,,607,n/a,,n/a,n/a,0,n/a,607
Achievement of educational objectives,"117,374","48,054",n/a,"1,351",n/a,n/a,"16,392",n/a,"183,171"
Environmental study,"305,335","5,277,101",n/a,"36,480",n/a,n/a,"97,280",n/a,"5,716,196"
Regulatory product testing,,"62,746",n/a,,n/a,n/a,707,n/a,"63,453"
Stock Breeding,,"259,485",n/a,,n/a,n/a,"570,880",n/a,"830,365"
Stock Maintenance,,"26,508",n/a,,n/a,n/a,"4,315",n/a,"30,823"
Other / Unspecified,,,n/a,,n/a,n/a,,n/a,0
TOTALS,"1,068,034","6,121,303",,"159,894",,,"781,706",,"8,130,937"
